Column1,Manufacturer Name,Brand Name,Model Number,Energy Source,Pilot Light (T/F),Heattraps (T/F),Hot Water Supply Boiler (T/F),Insulation Type,Mobile Home (T/F),Rated Volume,Measured Volume,Input BTUH,Thermal Efficiency,Standby Loss Percent/Hour,Standby Loss BTUH,Recovery Electric Power Watts,Standby Electric Power Watts,Insulation R-Value,Flue Damper (T/F),Fan Assisted Combustion (T/F),Add Date,
67207,A O Smith Water Products,A O Smith Water Products,ATIO 710 100,Natural Gas,False,,,,False,,0.4,240000,82.2,,,,9,,,,3/4/2011 12:00:00 AM,
67208,A O Smith Water Products,A O Smith Water Products,ATIO 710 101,Natural Gas,False,,,,False,,0.4,240000,82.2,,,,9,,,,3/4/2011 12:00:00 AM,
67209,A O Smith Water Products,A O Smith Water Products,ATIO 710A 100,LPG,False,,,,False,,0.4,240000,83.9,,,,9,,,,3/4/2011 12:00:00 AM,
67210,A O Smith Water Products,A O Smith Water Products,ATIO 710A 101,LPG,False,,,,False,,0.4,240000,83.9,,,,9,,,,3/4/2011 12:00:00 AM,
67239,A O Smith Water Products,A O Smith Water Products,ATIO 910 100,Natural Gas,False,,False,,False,,0.4,380000,80.2,,,,16,,,,3/7/2011 12:00:00 AM,
67240,A O Smith Water Products,A O Smith Water Products,ATIO 910 101,Natural Gas,False,,False,,False,,0.4,380000,80.2,,,,16,,,,3/7/2011 12:00:00 AM,
67241,A O Smith Water Products,A O Smith Water Products,ATIO 910A 100,LPG,False,,False,,False,,0.4,380000,82.4,,,,16,,,,3/7/2011 12:00:00 AM,
67242,A O Smith Water Products,A O Smith Water Products,ATIO 910A 101,LPG,False,,False,,False,,0.4,380000,82.4,,,,16,,,,3/7/2011 12:00:00 AM,
902,A O Smith Water Products,A O Smith Water Products,BT 100,Natural Gas,False,False,,Non-Ozone-Depleting,False,98.0,93.7,75100,80.0,2.12,1146,0,0,,,,12/18/2003 12:00:00 AM,
6686,A O Smith Water Products,A O Smith Water Products,BT 100 300,Natural Gas,True,False,,Non-Ozone-Depleting,False,98.0,93.1,75100,80.0,1.98,1068,0,0,,,,9/25/2008 12:00:00 AM,
6709,A O Smith Water Products,A O Smith Water Products,BT 100 301,LPG,True,False,,Non-Ozone-Depleting,False,98.0,93.1,75100,80.0,1.98,1068,0,0,,,,9/25/2008 12:00:00 AM,
6687,A O Smith Water Products,A O Smith Water Products,BT 80 300,Natural Gas,True,False,,Non-Ozone-Depleting,False,74.0,71.3,75100,80.0,2.51,1019,0,0,,,,9/25/2008 12:00:00 AM,
6710,A O Smith Water Products,A O Smith Water Products,BT 80 301,LPG,True,False,,Non-Ozone-Depleting,False,74.0,71.3,75100,80.0,2.51,1019,0,0,,,,9/25/2008 12:00:00 AM,
3344,A O Smith Water Products,A O Smith Water Products,BT-100,Natural Gas,False,,,,False,,94.6,78000,79.8,2.48,,0,0,,,,12/18/2000 12:00:00 AM,
876,A O Smith Water Products,A O Smith Water Products,BT-80,Natural Gas,True,False,,Non-Ozone-Depleting,False,74.5,70.8,75100,80.0,2.44,998,0,0,,,,11/26/2003 12:00:00 AM,
3519,A O Smith Water Products,A O Smith Water Products,BTC-120-***,LPG,False,False,,No Match,False,,72.0,120000,78.6,2.20,,475,280,,,,9/6/1991 12:00:00 AM,
3518,A O Smith Water Products,A O Smith Water Products,BTC-120-***,Natural Gas,False,False,,No Match,False,,72.0,120000,78.6,2.20,,475,280,,,,8/1/1988 12:00:00 AM,
3521,A O Smith Water Products,A O Smith Water Products,BTC-154-***,LPG,False,False,,No Match,False,,85.0,154000,78.0,2.50,,475,280,,,,9/6/1991 12:00:00 AM,
3520,A O Smith Water Products,A O Smith Water Products,BTC-154-***,Natural Gas,False,False,,No Match,False,,85.0,154000,78.0,2.50,,475,280,,,,8/1/1988 12:00:00 AM,
3522,A O Smith Water Products,A O Smith Water Products,BTC-179-***,Natural Gas,False,False,,No Match,False,,82.0,179000,80.0,2.50,,475,280,,,,8/1/1988 12:00:00 AM,
3524,A O Smith Water Products,A O Smith Water Products,BTC-197-***,LPG,False,False,,No Match,False,,95.0,197000,80.0,2.20,,475,280,,,,9/6/1991 12:00:00 AM,
3523,A O Smith Water Products,A O Smith Water Products,BTC-197-***,Natural Gas,False,False,,No Match,False,,95.0,197000,80.0,2.20,,475,280,,,,8/1/1988 12:00:00 AM,
3526,A O Smith Water Products,A O Smith Water Products,BTC-197A-***,LPG,False,False,,No Match,False,,95.0,197000,80.0,2.20,,475,280,,,,9/6/1991 12:00:00 AM,
3525,A O Smith Water Products,A O Smith Water Products,BTC-197A-***,Natural Gas,False,False,,No Match,False,,95.0,197000,80.0,2.20,,475,280,,,,8/1/1988 12:00:00 AM,
3527,A O Smith Water Products,A O Smith Water Products,BTC-199-***,Natural Gas,False,False,,No Match,False,,84.0,190000,78.7,1.99,,9,629,,,,4/6/1994 12:00:00 AM,
3528,A O Smith Water Products,A O Smith Water Products,BTC-200***,Natural Gas,False,False,,No Match,False,,100.0,199000,80.3,1.72,,9,635,,,,8/3/1994 12:00:00 AM,
1023,A O Smith Water Products,A O Smith Water Products,BTC-240-***,Natural Gas,False,False,,,False,,95.0,240000,80.0,2.20,,475,280,,,,8/1/1988 12:00:00 AM,
3529,A O Smith Water Products,A O Smith Water Products,BTC-240A-***,Natural Gas,False,False,,No Match,False,,95.0,240000,80.0,2.20,,475,280,,,,8/1/1988 12:00:00 AM,
3530,A O Smith Water Products,A O Smith Water Products,BTC-251-***,Natural Gas,False,False,,No Match,False,,75.0,251000,79.2,2.19,,10,696,,,,10/4/1994 12:00:00 AM,
3531,A O Smith Water Products,A O Smith Water Products,BTC-275-***,Natural Gas,False,False,,No Match,False,,95.0,275000,82.0,1.70,,450,325,,,,5/27/1992 12:00:00 AM,
62,A O Smith Water Products,A O Smith Water Products,BTC-305-***,Natural Gas,False,,,,False,,72.0,305000,80.0,2.83,,405,395,,,,9/6/1991 12:00:00 AM,
63,A O Smith Water Products,A O Smith Water Products,BTC-305A-***,Natural Gas,False,,,,False,,72.0,305000,80.0,2.83,,405,395,,,,9/6/1991 12:00:00 AM,
65,A O Smith Water Products,A O Smith Water Products,BTC-365-***,LPG,False,,,,False,,66.0,365000,80.0,3.20,,405,395,,,,9/6/1991 12:00:00 AM,
64,A O Smith Water Products,A O Smith Water Products,BTC-365-***,Natural Gas,False,,,,False,,66.0,365000,80.0,3.20,,405,395,,,,8/1/1988 12:00:00 AM,
66,A O Smith Water Products,A O Smith Water Products,BTC-365A-***,Natural Gas,False,,,,False,,66.0,365000,80.0,3.20,,405,395,,,,8/1/1988 12:00:00 AM,
1172,A O Smith Water Products,A O Smith Water Products,BTF-75           ,Natural Gas,False,,,Non-Ozone-Depleting,False,74.5,70.8,76500,81.0,1.99,812,98,15,,,,10/27/2003 12:00:00 AM,
3532,A O Smith Water Products,A O Smith Water Products,BTH-120-***,Natural Gas,False,False,,No Match,False,,60.0,125000,93.6,2.51,,94,242,,,,1/27/1998 12:00:00 AM,
3533,A O Smith Water Products,A O Smith Water Products,BTH-150-***,Natural Gas,False,False,,No Match,False,,100.0,150000,94.9,1.02,,95,421,,,,12/7/1995 12:00:00 AM,
3537,A O Smith Water Products,A O Smith Water Products,BTH-199-***,Natural Gas,False,False,,No Match,False,,100.0,199900,93.3,1.06,,89,394,,,,12/7/1995 12:00:00 AM,
3538,A O Smith Water Products,A O Smith Water Products,BTH-250-***,Natural Gas,False,False,,No Match,False,,100.0,240000,90.9,1.26,,112,402,,,,2/4/1997 12:00:00 AM,
1496,A O Smith Water Products,A O Smith Water Products,BTH-300              ,Natural Gas,False,,,,False,,124.2,300000,99.0,1.77,,137,999,,,,3/6/2002 12:00:00 AM,
1500,A O Smith Water Products,A O Smith Water Products,BTH-400,Natural Gas,False,,,,False,,124.7,400000,99.0,1.50,,225,999,,,,9/4/2002 12:00:00 AM,
1269,A O Smith Water Products,A O Smith Water Products,BTI-100,Natural Gas,False,False,,Non-Ozone-Depleting,False,98.0,93.7,90000,81.0,1.92,1088,35,14,,,,10/8/2003 12:00:00 AM,
1715,A O Smith Water Products,A O Smith Water Products,BTI-120              ,Natural Gas,False,,,,False,,67.5,120000,80.0,2.30,,63,122,,,,11/16/2001 12:00:00 AM,
1663,A O Smith Water Products,A O Smith Water Products,BTI-154              ,Natural Gas,False,,,,False,,78.8,154000,85.0,2.36,,64,123,,,,4/26/2002 12:00:00 AM,
1728,A O Smith Water Products,A O Smith Water Products,BTI-180              ,Natural Gas,False,,,,False,,78.9,180000,83.0,2.25,,61,180,,,,4/26/2002 12:00:00 AM,
1803,A O Smith Water Products,A O Smith Water Products,BTI-199              ,Natural Gas,False,,,,False,,78.8,190000,80.0,2.41,,61,168,,,,10/15/2001 12:00:00 AM,
1741,A O Smith Water Products,A O Smith Water Products,BTI-200              ,Natural Gas,False,,,,False,,94.2,199000,85.0,2.09,,64,118,,,,4/26/2002 12:00:00 AM,
1499,A O Smith Water Products,A O Smith Water Products,BTI-250,Natural Gas,False,,,,False,,94.2,250000,81.0,2.22,,64,130,,,,8/19/2002 12:00:00 AM,
1976,A O Smith Water Products,A O Smith Water Products,BTI-275              ,Natural Gas,False,,,,False,,94.2,275000,80.0,2.10,,0,0,,,,6/27/2002 12:00:00 AM,
1978,A O Smith Water Products,A O Smith Water Products,BTI-310              ,Natural Gas,False,,,,False,,82.5,310000,80.0,,,,,,,,7/10/2002 12:00:00 AM,
4327,A O Smith Water Products,A O Smith Water Products,BTI-400              ,Natural Gas,False,,,No Match,False,,82.4,399000,85.0,2.60,,,,,,,4/26/2002 12:00:00 AM,
1268,A O Smith Water Products,A O Smith Water Products,BTI-80,Natural Gas,False,False,,Non-Ozone-Depleting,False,74.5,70.8,76500,80.0,2.02,828,34,11,,,,10/8/2003 12:00:00 AM,
900,A O Smith Water Products,A O Smith Water Products,BTN 100,Natural Gas,False,False,,Non-Ozone-Depleting,False,98.0,93.7,90000,81.0,1.77,958,35,46,,,,12/18/2003 12:00:00 AM,
67890,A O Smith Water Products,A O Smith Water Products,BTN 199C*,Natural Gas,False,False,,Non-Ozone-Depleting,False,93.0,89.1,199000,82.0,2.31,1212,71,447,,,,5/17/2011 12:00:00 AM,
898,A O Smith Water Products,A O Smith Water Products,BTN 80,Natural Gas,False,False,,Non-Ozone-Depleting,False,74.5,70.8,80000,81.0,1.96,803,38,58,,,,12/18/2003 12:00:00 AM,
1851,A O Smith Water Products,A O Smith Water Products,BTN-120              ,Natural Gas,False,,,,False,,67.5,120000,80.0,2.67,,63,132,,,,4/26/2002 12:00:00 AM,
1979,A O Smith Water Products,A O Smith Water Products,BTN-180              ,Natural Gas,False,,,,False,,94.2,180000,80.0,2.16,,60,147,,,,7/10/2002 12:00:00 AM,
1684,A O Smith Water Products,A O Smith Water Products,BTN-199              ,Natural Gas,False,,,,False,,94.2,200000,80.0,2.27,,65,257,,,,4/26/2002 12:00:00 AM,
3332,A O Smith Water Products,A O Smith Water Products,BTN-200              ,Natural Gas,False,,,,False,,94.2,200000,80.5,2.23,,68,252,,,,3/7/2001 12:00:00 AM,
926,A O Smith Water Products,A O Smith Water Products,BTN-250              ,Natural Gas,False,,,,False,,99.0,250000,80.0,2.20,,77,262,,,,3/7/2001 12:00:00 AM,
1977,A O Smith Water Products,A O Smith Water Products,BTN-275              ,Natural Gas,False,,,,False,,94.2,275000,80.0,2.12,,74,150,,,,7/10/2002 12:00:00 AM,
1831,A O Smith Water Products,A O Smith Water Products,BTN-310              ,Natural Gas,False,,,,False,,82.5,310000,82.0,2.44,,79,155,,,,4/26/2002 12:00:00 AM,
4328,A O Smith Water Products,A O Smith Water Products,BTN-366              ,Natural Gas,False,,,No Match,False,,82.5,366000,80.0,3.06,,,,,,,4/26/2002 12:00:00 AM,
262,A O Smith Water Products,A O Smith Water Products,BTN-400,Natural Gas,False,,,,False,,82.5,390000,80.0,3.09,,0,0,,,,1/17/2002 12:00:00 AM,
867,A O Smith Water Products,A O Smith Water Products,BTP 370,Natural Gas,False,,,Non-Ozone-Depleting,False,81.0,77.6,370000,82.0,2.47,1107,,13,,,,11/25/2003 12:00:00 AM,
869,A O Smith Water Products,A O Smith Water Products,BTP 540,Natural Gas,False,,,Non-Ozone-Depleting,False,85.0,82.1,549999,82.0,2.69,1275,,92,,,,11/25/2003 12:00:00 AM,
871,A O Smith Water Products,A O Smith Water Products,BTP 650,Natural Gas,False,,,Non-Ozone-Depleting,False,85.0,82.1,650000,83.0,2.90,1376,,74,,,,11/25/2003 12:00:00 AM,
873,A O Smith Water Products,A O Smith Water Products,BTP 740,Natural Gas,False,,,Non-Ozone-Depleting,False,85.0,82.1,740000,81.0,3.06,1450,,88,,,,11/25/2003 12:00:00 AM,
3613,A O Smith Water Products,A O Smith Water Products,BTP-0200-1000,Oil,False,,,No Match,False,,214.0,1000000,80.0,2.35,,216,0,6.0,False,False,9/6/1991 12:00:00 AM,
3614,A O Smith Water Products,A O Smith Water Products,BTP-0200-1250,Oil,False,,,No Match,False,,207.0,1250000,80.0,2.36,,365,0,6.0,False,False,9/6/1991 12:00:00 AM,
3493,A O Smith Water Products,A O Smith Water Products,BTP-0200-1500,Oil,False,,,No Match,False,,200.0,1500000,80.0,2.37,,365,0,6.0,False,False,9/6/1991 12:00:00 AM,
3494,A O Smith Water Products,A O Smith Water Products,BTP-0400-1750,Oil,False,,,No Match,False,,400.0,1750000,80.0,2.22,,550,0,6.0,False,False,9/6/1991 12:00:00 AM,
3495,A O Smith Water Products,A O Smith Water Products,BTP-0400-2000,Oil,False,,,No Match,False,,391.0,2000000,80.0,2.22,,550,0,6.0,False,False,9/6/1991 12:00:00 AM,
3496,A O Smith Water Products,A O Smith Water Products,BTP-0400-2250,Oil,False,,,No Match,False,,386.0,2250000,80.0,2.23,,800,0,6.0,False,False,9/6/1991 12:00:00 AM,
3497,A O Smith Water Products,A O Smith Water Products,BTP-0400-2500,Oil,False,,,No Match,False,,380.0,2500000,80.0,2.23,,800,0,6.0,False,False,9/6/1991 12:00:00 AM,
3498,A O Smith Water Products,A O Smith Water Products,BTP-0600-2500,Oil,False,,,No Match,False,,575.0,2500000,80.0,2.40,,800,0,6.0,False,False,9/6/1991 12:00:00 AM,
67,A O Smith Water Products,A O Smith Water Products,BTP-125-540,Natural Gas,False,,,,False,,123.0,540000,80.0,2.82,,216,0,,,,9/6/1991 12:00:00 AM,
68,A O Smith Water Products,A O Smith Water Products,BTP-125-720,Natural Gas,False,,,,False,,123.0,720000,80.0,2.82,,216,0,,,,9/6/1991 12:00:00 AM,
3136,A O Smith Water Products,A O Smith Water Products,BTP-139,Natural Gas,False,,,,False,,81.0,140000,85.2,2.27,,67,247,,,,5/17/2000 12:00:00 AM,
3539,A O Smith Water Products,A O Smith Water Products,BTP-140-140,Natural Gas,False,False,,No Match,False,,140.0,140000,80.4,0.00,,382,0,,,,7/20/1993 12:00:00 AM,
3540,A O Smith Water Products,A O Smith Water Products,BTP-140-199,Natural Gas,False,,,No Match,False,,140.0,199000,80.5,0.00,,382,0,,,,7/20/1993 12:00:00 AM,
3541,A O Smith Water Products,A O Smith Water Products,BTP-140-255,Natural Gas,False,False,,No Match,False,,140.0,255000,81.2,0.00,,457,0,,,,7/20/1993 12:00:00 AM,
3542,A O Smith Water Products,A O Smith Water Products,BTP-140-270,Natural Gas,False,,,No Match,False,,140.0,270000,80.7,0.00,,590,0,,,,7/20/1993 12:00:00 AM,
3543,A O Smith Water Products,A O Smith Water Products,BTP-140-400,Natural Gas,False,,,No Match,False,,140.0,400000,80.5,0.00,,657,0,,,,7/20/1993 12:00:00 AM,
69,A O Smith Water Products,A O Smith Water Products,BTP-140-540,Natural Gas,False,,,,False,,128.0,540000,79.9,0.00,,679,0,,,,7/20/1993 12:00:00 AM,
70,A O Smith Water Products,A O Smith Water Products,BTP-140-720,Natural Gas,False,,,,False,,128.0,720000,79.3,0.00,,737,0,,,,7/20/1993 12:00:00 AM,
3137,A O Smith Water Products,A O Smith Water Products,BTP-199,Natural Gas,False,,,,False,,81.0,199000,83.8,2.17,,69,234,,,,5/17/2000 12:00:00 AM,
71,A O Smith Water Products,A O Smith Water Products,BTP-200-1000,Natural Gas,False,,,,False,,214.0,1000000,80.0,2.35,,216,0,6.0,False,False,9/6/1991 12:00:00 AM,
243,A O Smith Water Products,A O Smith Water Products,BTP-200-1250,Natural Gas,False,,,,False,,207.0,1250000,80.0,2.36,,365,0,6.0,False,False,9/6/1991 12:00:00 AM,
244,A O Smith Water Products,A O Smith Water Products,BTP-200-1500,Natural Gas,False,,,,False,,200.0,1500000,80.0,2.37,,365,0,6.0,False,False,9/6/1991 12:00:00 AM,
874,A O Smith Water Products,A O Smith Water Products,BTP-270,Natural Gas,False,False,,Non-Ozone-Depleting,False,81.0,77.6,270000,81.0,2.30,1030,90,26,,,,11/26/2003 12:00:00 AM,
3544,A O Smith Water Products,A O Smith Water Products,BTP-300-1000,Natural Gas,False,,,No Match,False,,297.0,1000000,78.3,0.00,,819,0,12.5,False,False,7/20/1993 12:00:00 AM,
245,A O Smith Water Products,A O Smith Water Products,BTP-300-1250,Natural Gas,False,,,,False,,293.0,1250000,79.3,0.00,,955,0,12.5,False,False,7/20/1993 12:00:00 AM,
246,A O Smith Water Products,A O Smith Water Products,BTP-300-1500,Natural Gas,False,,,,False,,293.0,1500000,78.5,0.00,,999,0,12.5,False,False,7/23/1993 12:00:00 AM,
3545,A O Smith Water Products,A O Smith Water Products,BTP-300-300,Natural Gas,False,False,,No Match,False,,304.0,300000,78.8,0.00,,626,0,12.5,False,False,7/20/1993 12:00:00 AM,
3546,A O Smith Water Products,A O Smith Water Products,BTP-300-600,Natural Gas,False,,,No Match,False,,304.0,600000,78.6,0.00,,670,0,12.5,False,False,7/20/1993 12:00:00 AM,
3547,A O Smith Water Products,A O Smith Water Products,BTP-300-800,Natural Gas,False,,,No Match,False,,297.0,800000,79.6,0.00,,747,0,12.5,False,False,7/20/1993 12:00:00 AM,
247,A O Smith Water Products,A O Smith Water Products,BTP-400-1750,Natural Gas,False,,,,False,,400.0,1750000,80.0,2.22,,550,0,6.0,False,False,9/6/1991 12:00:00 AM,
248,A O Smith Water Products,A O Smith Water Products,BTP-400-2000,Natural Gas,False,,,,False,,391.0,2000000,80.0,2.22,,550,0,6.0,False,False,9/6/1991 12:00:00 AM,
249,A O Smith Water Products,A O Smith Water Products,BTP-400-2250,Natural Gas,False,,,,False,,386.0,2250000,80.0,2.23,,800,0,6.0,False,False,9/6/1991 12:00:00 AM,
250,A O Smith Water Products,A O Smith Water Products,BTP-400-2500,Natural Gas,False,,,,False,,380.0,2500000,80.0,2.23,,800,0,6.0,False,False,9/6/1991 12:00:00 AM,
251,A O Smith Water Products,A O Smith Water Products,BTP-600-2500,Natural Gas,False,,,,False,,575.0,2500000,80.0,2.40,,800,0,6.0,False,False,9/6/1991 12:00:00 AM,
253,A O Smith Water Products,A O Smith Water Products,BTP-700A-***,LPG,False,,,,False,,65.6,660000,80.0,3.20,,700,0,,,,9/26/1991 12:00:00 AM,
252,A O Smith Water Products,A O Smith Water Products,BTP-700A-***,Natural Gas,False,,,,False,,65.6,650000,80.0,3.20,,700,0,,,,8/1/1988 12:00:00 AM,
3077,A O Smith Water Products,A O Smith Water Products,BTP200-300,Natural Gas,False,,,,False,,192.7,300000,82.2,1.77,,116,121,6.0,False,False,4/15/1999 12:00:00 AM,
3078,A O Smith Water Products,A O Smith Water Products,BTP200-600,Natural Gas,False,,,,False,,192.7,600000,79.4,1.70,,115,59,6.0,False,False,4/15/1999 12:00:00 AM,
1071,A O Smith Water Products,A O Smith Water Products,BTP200-800,Natural Gas,False,,,,False,,192.7,800000,78.5,1.73,,240,77,6.0,False,False,4/15/1999 12:00:00 AM,
3079,A O Smith Water Products,A O Smith Water Products,BTP400-1000,Natural Gas,False,,,,False,,361.0,1000000,78.6,1.43,,226,200,6.0,False,False,4/15/1999 12:00:00 AM,
1072,A O Smith Water Products,A O Smith Water Products,BTP400-1500,Natural Gas,False,,,,False,,361.0,1500000,79.4,1.30,,285,132,6.0,False,False,4/15/1999 12:00:00 AM,
3080,A O Smith Water Products,A O Smith Water Products,BTP400-600,Natural Gas,False,,,,False,,361.0,600000,79.3,1.43,,115,200,6.0,False,False,4/15/1999 12:00:00 AM,
3081,A O Smith Water Products,A O Smith Water Products,BTP400-800,Natural Gas,False,,,,False,,361.0,800000,79.5,1.43,,226,200,6.0,False,False,4/15/1999 12:00:00 AM,
3082,A O Smith Water Products,A O Smith Water Products,BTP600-1000,Natural Gas,False,,,,False,,558.0,1000000,81.4,1.44,,221,234,6.0,False,False,4/15/1999 12:00:00 AM,
3083,A O Smith Water Products,A O Smith Water Products,BTP600-1250,Natural Gas,False,,,,False,,558.0,1250000,79.5,1.14,,321,205,6.0,False,False,4/15/1999 12:00:00 AM,
934,A O Smith Water Products,A O Smith Water Products,BTP600-1500,Natural Gas,False,,,,False,,558.0,1500000,78.3,1.14,,320,205,6.0,False,False,4/15/1999 12:00:00 AM,
3084,A O Smith Water Products,A O Smith Water Products,BTP600-1750,Natural Gas,False,,,,False,,540.1,1750000,78.6,1.43,,719,278,6.0,False,False,4/15/1999 12:00:00 AM,
3085,A O Smith Water Products,A O Smith Water Products,BTP600-2000,Natural Gas,False,,,,False,,540.1,1998000,78.1,1.42,,737,344,6.0,False,False,4/15/1999 12:00:00 AM,
3086,A O Smith Water Products,A O Smith Water Products,BTP600-720,Natural Gas,False,,,,False,,558.0,720000,80.2,1.44,,221,234,6.0,False,False,4/15/1999 12:00:00 AM,
67019,A O Smith Water Products,A O Smith Water Products,BTR 151 101,LPG,False,,,Non-Ozone-Depleting,False,32.0,32.6,150000,82.0,4.32,759,,928,,,,2/14/2011 12:00:00 AM,
67020,A O Smith Water Products,A O Smith Water Products,BTR 201 101,LPG,False,,,Non-Ozone-Depleting,False,32.0,32.6,199000,80.0,4.25,747,,908,,,,2/14/2011 12:00:00 AM,
1171,A O Smith Water Products,A O Smith Water Products,BTR 251,Natural Gas,False,,,Non-Ozone-Depleting,False,32.0,32.7,150000,82.0,40.30,820,60,27,,,,10/22/2003 12:00:00 AM,
2104,A O Smith Water Products,A O Smith Water Products,BTR-120-***,Natural Gas,False,,,,False,,67.5,120000,82.0,2.20,,10,305,,,,6/15/1998 12:00:00 AM,
865,A O Smith Water Products,A O Smith Water Products,BTR-151,Natural Gas,False,,,Non-Ozone-Depleting,False,32.0,32.7,150000,82.0,4.03,759,,272,,,,11/25/2003 12:00:00 AM,
2002,A O Smith Water Products,A O Smith Water Products,BTR-154-***,Natural Gas,False,,,,False,,81.0,154000,80.8,1.52,,9,278,,,,9/23/1998 12:00:00 AM,
2003,A O Smith Water Products,A O Smith Water Products,BTR-180-***,Natural Gas,False,,,,False,,81.0,180000,85.3,2.26,,9,308,,,,9/23/1998 12:00:00 AM,
1196,A O Smith Water Products,A O Smith Water Products,BTR-197-***,Natural Gas,False,,,,False,,96.0,199000,80.2,2.24,,9,300,,,,6/15/1998 12:00:00 AM,
1995,A O Smith Water Products,A O Smith Water Products,BTR-198-***,Natural Gas,False,,,,False,,96.1,199000,80.5,2.26,,9,290,,,,6/15/1998 12:00:00 AM,
2004,A O Smith Water Products,A O Smith Water Products,BTR-199-***,Natural Gas,False,,,,False,,81.0,190000,80.3,2.45,,9,299,,,,9/23/1998 12:00:00 AM,
3041,A O Smith Water Products,A O Smith Water Products,BTR-200-***,Natural Gas,False,,,,False,,97.6,199000,82.4,2.18,,9,285,,,,11/10/1998 12:00:00 AM,
866,A O Smith Water Products,A O Smith Water Products,BTR-201,Natural Gas,False,,,Non-Ozone-Depleting,False,32.0,32.7,199900,80.0,3.96,747,,266,,,,11/25/2003 12:00:00 AM,
3066,A O Smith Water Products,A O Smith Water Products,BTR-250-XXX,Natural Gas,False,,,,False,,98.0,250000,80.0,1.93,,10,581,,,,3/2/1999 12:00:00 AM,
1066,A O Smith Water Products,A O Smith Water Products,BTR-251-XXX,Natural Gas,False,,,,False,,61.9,251000,80.0,2.73,,10,753,,,,3/2/1999 12:00:00 AM,
3065,A O Smith Water Products,A O Smith Water Products,BTR-275-***,Natural Gas,False,,,,False,,98.0,275000,80.0,2.26,,9,563,,,,2/3/1999 12:00:00 AM,
1064,A O Smith Water Products,A O Smith Water Products,BTR-305***,Natural Gas,False,,,,False,,61.7,305000,80.0,2.44,,9,566,,,,2/3/1999 12:00:00 AM,
1065,A O Smith Water Products,A O Smith Water Products,BTR-305-***,Natural Gas,False,,,,False,,61.7,305000,80.0,0.00,,0,0,,,,2/11/1999 12:00:00 AM,
1069,A O Smith Water Products,A O Smith Water Products,BTR-365-XXX,Natural Gas,False,,,,False,,87.8,365000,80.0,0.00,,0,0,,,,3/2/1999 12:00:00 AM,
254,A O Smith Water Products,A O Smith Water Products,BTR-400,Natural Gas,False,,,,False,,95.0,390000,84.0,,,,,,,,1/22/2003 12:00:00 AM,
1070,A O Smith Water Products,A O Smith Water Products,BTR-400-XXX,Natural Gas,False,,,,False,,95.0,399000,80.0,0.00,,0,0,,,,3/18/1999 12:00:00 AM,
1063,A O Smith Water Products,A O Smith Water Products,BTR-500-XXX,Natural Gas,False,,,,False,,82.0,500000,79.0,0.00,,0,0,,,,8/4/1999 12:00:00 AM,
3225,A O Smith Water Products,A O Smith Water Products,BTRC-180,Natural Gas,False,,,,False,,71.0,180000,80.0,2.46,,9,609,,,,11/5/1999 12:00:00 AM,
3130,A O Smith Water Products,A O Smith Water Products,BTRC-197,Natural Gas,False,,,,False,,94.0,199000,80.0,1.94,,9,585,,,,1/31/2000 12:00:00 AM,
3226,A O Smith Water Products,A O Smith Water Products,BTRC-199,Natural Gas,False,,,,False,,73.0,199000,80.0,1.93,,9,617,,,,11/5/1999 12:00:00 AM,
1042,A O Smith Water Products,A O Smith Water Products,BTRC-365,Natural Gas,False,,,,False,,62.0,360000,80.0,2.64,,10,589,,,,11/5/1999 12:00:00 AM,
67869,A O Smith Water Products,A O Smith Water Products,BTX 100 100,Natural Gas,False,False,,Non-Ozone-Depleting,False,50.0,49.8,100000,96.0,1.91,548,150,2492,,,,5/17/2011 12:00:00 AM,
67870,A O Smith Water Products,A O Smith Water Products,BTX 100 101,LPG,False,False,,Non-Ozone-Depleting,False,50.0,49.8,100000,96.0,1.91,548,150,2492,,,,5/17/2011 12:00:00 AM,
67883,A O Smith Water Products,A O Smith Water Products,BTX 80*,Natural Gas,False,False,,Non-Ozone-Depleting,False,50.0,48.4,76000,90.0,1.33,364,60,54,,,,5/17/2011 12:00:00 AM,
15,A O Smith Water Products,A O Smith Water Products,COF 199,Oil,False,False,,Non-Ozone-Depleting,False,86.0,81.7,199000,78.0,2.42,1141,58,47,,,,4/14/2004 12:00:00 AM,
17,A O Smith Water Products,A O Smith Water Products,COF 245,Oil,False,False,,Non-Ozone-Depleting,False,86.0,81.7,245000,78.0,2.75,1299,117,49,,,,4/14/2004 12:00:00 AM,
19,A O Smith Water Products,A O Smith Water Products,COF 385,Oil,False,,,Non-Ozone-Depleting,False,75.0,71.6,385000,83.0,2.96,1225,,57,,,,4/14/2004 12:00:00 AM,
3499,A O Smith Water Products,A O Smith Water Products,COF-385-***,Oil,False,,,No Match,False,,71.3,385000,80.0,3.10,,0,0,,,,7/17/1989 12:00:00 AM,
3644,A O Smith Water Products,A O Smith Water Products,COF-385A-***,Oil,False,,,No Match,False,,71.3,385000,80.0,3.10,,0,0,,,,7/17/1989 12:00:00 AM,
3645,A O Smith Water Products,A O Smith Water Products,COF-455-***,Oil,False,,,No Match,False,,71.3,455000,78.0,3.10,,0,0,,,,7/17/1989 12:00:00 AM,
3646,A O Smith Water Products,A O Smith Water Products,COF-455A-***,Oil,False,,,No Match,False,,71.3,455000,78.0,3.10,,0,0,,,,7/17/1989 12:00:00 AM,
